name	age	gender	salary
u444	17	male	871
u445	45	female	386
u446	30	female	814
u447	37	male	708
u448	47	female	972
u449	39	male	378
u450	34	male	582
u451	33	female	226
u452	18	male	853
u453	21	male	527
u454	19	female	360
u455	47	male	586
u456	28	male	389
u457	26	male	681
u458	47	male	744
u459	7	female	67
u460	39	female	68
u461	6	female	785
u462	13	male	271
u463	45	male	621
u464	10	female	608
u465	50	male	53
u466	46	male	530
u467	27	female	344
u468	48	female	386
u469	19	female	429
u470	41	male	361
u471	2	male	211
u472	44	male	530
u473	22	male	928
u474	30	male	10
u475	16	male	843
u476	40	male	727
u477	2	male	537
u478	19	male	304
u479	32	male	492
u480	2	male	162
u481	20	male	575
u482	40	male	23
u483	42	male	13
u484	15	female	887
u485	3	male	454
u486	40	male	239
u487	27	male	780
u488	11	male	908
u489	15	female	622
u490	50	male	672
u491	5	male	849
u492	26	female	779
u493	25	female	874
u494	41	male	821
u495	8	male	907
u496	3	female	750
u497	10	male	747
u498	21	male	269
u499	1	female	192
u500	31	female	105
u501	19	female	836
u502	6	male	55
u503	47	male	826
u504	27	female	991
u505	32	male	830
u506	6	male	978
u507	7	female	514
u508	41	male	405
u509	22	female	515
u510	29	female	656
u511	15	male	928
u512	4	male	52
u513	13	female	595
u514	25	male	392
u515	45	female	482
u516	14	female	318
u517	25	male	23
u518	33	male	90
u519	38	male	234
u520	16	female	493
u521	8	male	583
u522	39	male	725
u523	24	female	565
u524	31	female	77
u525	31	female	417
u526	15	male	211
u527	38	male	247
u528	19	male	32
u529	46	male	711
u530	35	male	45
u531	16	male	808
u532	14	male	21
u533	9	male	322
u534	34	female	60
u535	9	male	247
u536	15	male	500
u537	37	male	889
u538	29	female	660
u539	8	male	729
u540	17	female	844
u541	49	male	976
u542	32	male	423
u543	44	male	357
u544	6	female	225
u545	18	female	151
u546	6	male	861
u547	23	male	975
u548	40	male	168
u549	33	female	8
u550	28	male	521
u551	11	female	184
u552	31	male	58
u553	44	female	119
u554	44	male	114
u555	28	male	700
u556	17	female	198
u557	31	female	830
u558	22	male	271
u559	0	male	88
u560	40	male	231
u561	3	male	476
u562	32	female	947
u563	8	male	450
u564	9	male	21
u565	22	female	577
u566	34	female	380
u567	7	male	962
u568	13	female	736
u569	13	male	819
u570	19	male	24
u571	25	male	944
u572	13	female	154
u573	16	female	60
u574	23	male	663
u575	45	female	298
u576	26	male	427
u577	33	female	117
u578	26	male	153
u579	22	male	700
u580	33	male	715
u581	23	male	393
u582	13	female	277
u583	26	female	257
u584	10	female	102
u585	45	male	607
u586	1	male	58
u587	3	male	614
u588	30	female	93
u589	24	female	690
u590	9	male	767
u591	40	male	7
u592	28	female	12
u593	0	female	601
u594	36	female	403
u595	36	male	660
u596	48	male	595
u597	29	male	639
u598	17	male	79
u599	29	male	433
u600	35	male	218
u601	17	female	725
u602	1	female	277
u603	23	female	899
u604	24	male	113
u605	13	male	122
u606	25	male	291
u607	12	male	170
u608	3	male	492
u609	34	male	367
u610	22	female	313
u611	32	female	794
u612	20	female	482
u613	46	male	399
u614	13	male	214
u615	26	male	293
u616	20	male	367
u617	31	male	671
u618	12	male	487
u619	20	male	193
u620	5	male	160
u621	24	female	83
u622	37	male	570
u623	15	female	781
u624	14	male	621
u625	39	female	277
u626	29	female	633
u627	33	male	615
u628	11	male	134
u629	42	male	137
u630	15	male	959
u631	49	female	574
u632	13	male	201
u633	17	male	780
u634	5	male	590
u635	42	male	714
u636	24	male	948
u637	41	female	441
u638	15	male	400
u639	15	female	979
u640	21	male	807
u641	2	female	739
u642	4	male	247
u643	11	female	953
u644	45	male	927
u645	29	male	944
u646	12	female	222
u647	12	female	772
u648	5	male	318
u649	5	male	347
u650	21	female	983
u651	40	male	266
u652	19	male	908
u653	10	male	650
u654	5	male	130
u655	31	male	498
u656	11	female	246
u657	45	male	117
u658	32	female	355
u659	45	female	874
u660	27	female	781
u661	29	male	565
u662	11	male	448
u663	8	female	196
u664	12	female	100
u665	9	male	884
u666	39	male	84
u667	8	male	267
u668	36	male	162
u669	20	male	848
u670	34	female	347
u671	5	female	244
u672	42	female	352
u673	27	male	321
u674	9	male	584
u675	49	female	944
u676	7	female	705
u677	23	male	483
u678	48	female	123
u679	10	female	50
u680	29	female	77
u681	36	male	977
u682	21	male	523
u683	11	female	815
u684	19	male	244
u685	46	female	344
u686	6	male	351
u687	46	female	447
u688	11	male	980
u689	43	female	99
u690	34	male	726
u691	19	male	835
u692	2	male	958
u693	9	female	711
u694	37	male	464
u695	12	male	713
u696	6	male	783
u697	19	female	433
u698	38	male	681
u699	3	female	469
u700	30	male	413
u701	14	male	267
u702	16	female	92
u703	24	male	396
u704	20	male	258
u705	36	male	714
u706	22	male	588
u707	43	male	854
u708	8	male	827
u709	5	male	210
u710	23	male	722
u711	46	male	315
u712	35	male	215
u713	24	female	424
u714	2	male	721
u715	32	female	70
u716	3	male	303
u717	8	female	526
u718	50	male	690
u719	2	male	707
u720	31	male	428
u721	6	male	82
u722	16	male	781
u723	45	female	169
u724	10	female	232
u725	32	male	423
u726	30	female	985
u727	30	male	585
u728	12	male	593
u729	36	male	358
u730	32	male	320
u731	12	male	935
u732	6	male	651
u733	32	male	242
u734	18	female	531
u735	35	male	673
u736	38	male	731
u737	8	male	915
u738	50	female	313
u739	27	male	145
u740	34	female	898
u741	27	female	868
u742	2	male	34
u743	8	male	102
u744	39	male	300
u745	29	male	369
u746	15	male	731
u747	34	male	234
u748	10	female	980
u749	18	male	265
u750	17	male	567
u751	7	male	26
u752	14	male	735
u753	14	male	84
u754	16	female	94
u755	16	female	55
u756	37	male	6
u757	35	male	949
u758	45	female	406
u759	11	female	381
u760	32	male	754
u761	29	male	494
u762	1	male	148
u763	41	female	174
u764	20	male	756
u765	45	male	109
u766	19	male	3
u767	50	male	918
u768	0	male	825
u769	35	male	16
u770	21	female	965
u771	2	female	889
u772	3	female	306
u773	34	male	907
u774	10	female	585
u775	33	male	683
u776	2	male	484
u777	28	male	235
u778	24	male	699
u779	48	female	961
u780	34	male	375
u781	8	male	151
u782	34	male	963
u783	36	female	61
u784	21	male	275
u785	9	male	687
u786	25	female	724
u787	34	male	179
u788	11	male	646
u789	42	female	327
u790	29	male	890
u791	21	male	609
u792	15	female	882
u793	7	female	719
u794	49	female	261
u795	26	male	404
u796	26	female	311
u797	47	female	927
u798	36	female	163
u799	30	male	580
u800	13	female	328
u801	18	male	591
u802	30	female	59
u803	13	male	820
u804	8	male	128
u805	11	female	49
u806	38	male	776
u807	36	female	82
u808	50	female	822
u809	27	male	526
u810	0	male	338
u811	8	male	156
u812	43	male	968
u813	49	female	467
u814	37	female	249
u815	6	male	56
u816	28	male	801
u817	8	female	429
u818	42	male	266
u819	14	female	961
u820	27	female	803
u821	30	female	83
u822	42	female	811
u823	46	male	75
u824	14	male	347
u825	43	male	593
u826	36	male	146
u827	41	male	122
u828	9	male	396
u829	41	male	314
u830	2	male	974
u831	9	male	803
u832	31	female	412
u833	50	male	143
u834	3	male	517
u835	37	male	698
u836	48	female	24
u837	15	male	564
u838	30	male	447
u839	39	male	822
u840	48	male	488
u841	21	male	110
u842	29	female	43
u843	45	male	958
u844	32	female	886
u845	9	male	621
u846	18	male	840
u847	6	female	224
u848	18	male	956
u849	17	female	560
u850	31	male	27
u851	17	female	465
u852	28	male	111
u853	15	male	591
u854	24	female	314
u855	32	female	738
u856	39	female	603
u857	5	female	798
u858	22	female	622
u859	24	male	696
u860	34	male	393
u861	10	male	826
u862	8	male	943
u863	11	male	457
u864	0	male	31
u865	44	male	707
u866	20	female	554
u867	33	male	28
u868	32	male	573
u869	40	male	558
u870	16	male	358
u871	12	male	302
u872	33	male	722
u873	34	male	991
u874	38	male	34
u875	4	male	799
u876	24	female	908
u877	0	male	690
u878	47	female	905
u879	5	female	500
u880	44	male	541
u881	16	female	11
u882	1	male	66
u883	37	male	630
u884	35	male	54
u885	6	male	661
u886	41	male	1000
u887	1	male	213
u888	35	male	297
u889	46	female	456
u890	44	male	45
u891	31	male	899
u892	25	male	542
u893	50	male	872
u894	7	male	492
u895	17	male	463
u896	41	male	945
u897	40	male	702
u898	27	female	685
u899	30	male	930
u900	1	female	495
u901	32	female	550
u902	9	male	608
u903	16	male	894
u904	24	female	827
u905	2	female	714
u906	0	female	377
u907	11	female	255
u908	26	male	92
u909	16	male	135
u910	18	male	965
u911	46	female	998
u912	4	male	840
u913	21	male	786
u914	35	male	73
u915	4	male	780
u916	37	male	820
u917	12	female	758
u918	3	female	653
u919	35	male	697
u920	6	male	654
u921	0	male	582
u922	44	male	822
u923	36	male	997
u924	33	female	431
u925	35	female	697
u926	24	female	51
u927	31	female	731
u928	49	male	37
u929	29	male	71
u930	19	male	630
u931	44	male	129
u932	45	male	878
u933	9	female	275
u934	39	male	186
u935	32	male	17
u936	6	female	198
u937	38	female	829
u938	12	male	447
u939	38	male	97
u940	6	male	997
u941	17	male	911
u942	45	male	823
u943	14	female	773
u944	12	male	500
u945	4	male	974
u946	47	male	891
u947	1	male	280
u948	37	female	383
u949	13	male	364
u950	50	male	395
u951	30	female	557
u952	8	male	519
u953	6	female	652
u954	50	male	141
u955	35	male	998
u956	13	male	441
u957	36	female	50
u958	27	male	22
u959	36	male	107
u960	13	male	159
u961	27	female	696
u962	44	male	126
u963	18	male	431
u964	29	male	854
u965	7	male	426
u966	35	male	280
u967	4	female	225
u968	18	male	159
u969	38	male	393
u970	21	female	993
u971	14	female	788
u972	14	female	440
u973	47	male	214
u974	18	male	498
u975	28	female	175
u976	14	male	459
u977	50	male	553
u978	38	male	35
u979	26	female	951
u980	27	male	198
u981	48	female	248
u982	9	female	172
u983	43	male	799
u984	15	female	379
u985	50	male	454
u986	49	male	361
u987	44	male	32
u988	20	male	175
u989	25	female	37
u990	26	male	212
u991	11	female	992
u992	2	male	708
u993	17	male	853
u994	30	male	122
u995	40	female	539
u996	7	male	465
u997	38	male	232
u998	27	male	569
u999	26	female	545
u1000	46	female	465
u1001	20	female	744
u1002	22	male	111
u1003	14	female	231
u1004	22	female	280
u1005	50	male	919
u1006	20	female	409
u1007	8	male	249
u1008	7	male	4
u1009	18	male	337
u1010	9	male	769
u1011	24	female	904
u1012	37	female	198
u1013	7	male	574
u1014	1	male	576
u1015	23	male	71
u1016	5	female	734
u1017	49	male	422
u1018	44	male	807
u1019	46	female	907
u1020	22	male	215
u1021	26	female	142
u1022	50	female	214
u1023	19	male	272
u1024	42	female	750
u1025	26	male	248
u1026	34	male	591
u1027	21	male	454
u1028	0	female	752
u1029	0	male	774
u1030	6	female	184
u1031	48	male	918
u1032	42	male	150
u1033	30	male	931
u1034	2	female	752
u1035	21	male	64
u1036	34	female	152
u1037	43	male	792
u1038	14	male	83
u1039	18	male	569
u1040	2	male	488
u1041	34	male	82
u1042	40	male	904
u1043	32	male	125
u1044	5	female	351
u1045	21	male	467
u1046	19	female	354
u1047	24	female	233
u1048	41	female	877
u1049	12	male	901
u1050	3	male	852
u1051	50	male	736
u1052	41	male	880
u1053	13	female	875
u1054	2	female	134
u1055	33	female	74
u1056	6	female	802
u1057	41	male	263
u1058	25	female	240
u1059	29	female	410
u1060	48	male	185
u1061	37	female	14
u1062	1	female	742
u1063	1	female	277
u1064	18	male	583
u1065	10	female	334
u1066	25	male	132
u1067	44	male	861
u1068	7	male	482
u1069	21	male	837
u1070	21	male	898
u1071	36	male	539
u1072	47	male	542
u1073	44	male	583
u1074	46	male	396
u1075	40	male	735
u1076	20	male	83
u1077	16	male	563
u1078	27	male	856
u1079	11	male	990
u1080	32	male	505
u1081	45	male	964
u1082	13	female	605
u1083	38	male	87
u1084	40	male	711
u1085	21	male	393
u1086	29	female	201
u1087	12	female	465
u1088	21	female	371
u1089	6	male	694
u1090	48	female	412
u1091	41	male	778
u1092	42	female	59
u1093	6	male	909
u1094	36	male	917
u1095	5	female	64
u1096	18	male	404
u1097	41	female	410
u1098	18	male	993
u1099	10	female	350
u1100	7	female	393
u1101	30	female	546
u1102	11	male	750
u1103	44	female	313
u1104	19	female	907
u1105	15	male	177
u1106	48	female	962
u1107	6	male	824
u1108	27	female	586
u1109	48	male	742
u1110	11	male	494
u1111	31	male	239
u1112	46	male	356
u1113	13	female	617
u1114	23	female	713
u1115	36	female	31
u1116	2	male	182
u1117	41	female	749
u1118	0	female	620
u1119	9	female	131
u1120	48	male	838
u1121	49	female	469
u1122	32	male	80
u1123	37	male	651
u1124	1	female	394
u1125	16	female	419
u1126	1	female	463
u1127	6	male	815
u1128	39	female	145
u1129	46	male	694
u1130	41	female	543
u1131	21	male	208
u1132	15	female	918
u1133	47	female	784
u1134	34	male	212
u1135	23	female	755
u1136	49	male	935
u1137	3	female	452
u1138	5	male	847
u1139	21	female	306
u1140	18	male	124
u1141	19	male	865
u1142	0	male	230
u1143	40	male	212
u1144	7	female	711
u1145	8	male	288
u1146	41	female	828
u1147	6	female	73
u1148	19	male	112
u1149	49	male	626
u1150	28	male	963
u1151	33	male	823
u1152	50	female	485
u1153	37	female	599
u1154	50	male	798
u1155	11	female	932
u1156	0	male	609
u1157	16	male	596
u1158	27	male	561
u1159	50	male	676
u1160	17	male	727
u1161	47	male	995
u1162	13	male	437
u1163	29	male	864
u1164	31	female	289
u1165	29	male	460
u1166	43	male	137
u1167	21	male	474
u1168	11	male	340
u1169	21	female	886
u1170	38	female	6
u1171	42	male	907
u1172	24	male	409
u1173	13	male	617
u1174	39	male	887
u1175	1	female	207
u1176	27	male	878
u1177	29	male	249
u1178	3	female	427
u1179	49	male	969
u1180	42	male	553
u1181	14	male	422
u1182	16	female	646
u1183	42	male	985
u1184	50	female	587
u1185	50	male	517
u1186	4	male	971
u1187	46	male	697
u1188	40	male	993
u1189	42	male	213
u1190	38	female	249
u1191	22	male	288
u1192	1	male	543
u1193	3	male	764
u1194	48	male	755
u1195	0	male	101
u1196	8	male	751
u1197	36	male	271
u1198	1	male	306
u1199	16	female	859
u1200	3	female	722
u1201	35	male	452
u1202	2	female	119
u1203	2	female	279
u1204	3	male	958
u1205	33	male	397
u1206	38	female	62
u1207	48	male	334
u1208	11	male	0
u1209	6	male	246
u1210	36	female	126
u1211	42	male	310
u1212	48	male	358
u1213	42	male	176
u1214	23	female	657
u1215	43	male	917
u1216	27	male	213
u1217	15	female	885
u1218	10	female	98
u1219	39	male	919
u1220	50	male	380
u1221	16	male	357
u1222	11	male	659
u1223	3	male	605
u1224	9	male	110
u1225	34	female	21
u1226	33	female	58
u1227	43	male	654
u1228	23	male	450
u1229	16	female	443
u1230	38	male	515
u1231	18	male	860
u1232	16	male	679
u1233	9	male	112
u1234	31	male	549
u1235	49	female	499
u1236	29	female	630
u1237	47	male	964
u1238	8	male	535
u1239	34	female	344
u1240	36	male	176
u1241	33	male	11
u1242	39	male	28
u1243	5	male	593
u1244	29	male	546
u1245	6	male	743
u1246	26	male	817
u1247	42	female	602
u1248	1	female	257
u1249	46	male	802
u1250	10	male	275
u1251	13	female	828
u1252	31	female	375
u1253	12	female	208
u1254	26	female	475
u1255	27	male	681
u1256	28	male	5
u1257	10	female	840
u1258	31	male	947
u1259	23	female	747
u1260	42	female	83
u1261	8	female	274
u1262	37	male	742
u1263	46	female	739
u1264	45	male	934
u1265	0	male	643
u1266	37	female	401
u1267	46	female	559
u1268	39	female	428
u1269	42	male	363
u1270	46	male	635
u1271	28	female	318
u1272	24	male	531
u1273	37	male	252
u1274	5	male	858
u1275	45	male	744
u1276	2	male	159
u1277	35	female	603
u1278	30	male	0
u1279	24	male	463
u1280	35	female	275
u1281	28	female	790
u1282	16	male	632
u1283	26	female	521
u1284	31	male	333
u1285	30	female	612
u1286	17	male	389
u1287	12	male	115
u1288	26	female	496
u1289	23	male	515
u1290	6	male	894
u1291	24	male	437
u1292	26	male	788
u1293	50	female	829
u1294	16	male	778
u1295	37	male	900
u1296	35	female	720
u1297	3	male	963
u1298	31	male	961
u1299	23	male	914
u1300	46	male	293
u1301	19	female	745
u1302	42	female	323
u1303	29	male	364
u1304	40	female	605
u1305	8	female	657
u1306	28	male	758
u1307	37	male	749
u1308	25	male	708
u1309	9	male	407
u1310	43	male	274
u1311	2	male	314
u1312	31	female	103
u1313	14	female	278
u1314	6	male	173
u1315	35	female	178
u1316	6	female	631
u1317	36	male	152
u1318	20	male	818
u1319	30	female	508
u1320	2	male	297
u1321	30	female	474
u1322	13	male	174
u1323	27	male	864
u1324	32	female	32
u1325	41	male	595
u1326	43	male	921
u1327	5	male	774
u1328	19	female	728
u1329	22	female	163
u1330	38	female	732
u1331	5	male	622
u1332	50	female	409
u1333	1	male	546
u1334	24	female	579
u1335	22	female	998
u1336	8	female	927
u1337	0	male	909
u1338	19	male	52
u1339	1	male	355
u1340	40	male	738
u1341	23	female	627
u1342	41	female	43
u1343	18	male	79
u1344	19	female	416
u1345	5	male	853
u1346	38	male	824
u1347	1	female	502
u1348	8	male	947
u1349	19	male	138
u1350	34	male	575
u1351	0	female	51
u1352	26	male	181
u1353	42	male	986
u1354	37	male	387
u1355	45	male	522
u1356	40	female	307
u1357	4	male	612
u1358	44	male	422
u1359	50	male	980
u1360	22	male	464
u1361	36	male	487
u1362	21	female	429
u1363	19	female	912
u1364	19	male	742
u1365	10	female	133
u1366	22	female	943
u1367	32	female	312
u1368	10	female	768
u1369	22	male	455
u1370	5	male	457
u1371	34	female	521
u1372	6	male	684
u1373	39	female	571
u1374	24	male	427
u1375	16	male	343
u1376	42	male	666
u1377	21	male	554
u1378	12	female	768
u1379	42	male	225
u1380	45	male	481
u1381	43	male	409
u1382	45	female	747
u1383	11	female	179
u1384	35	female	611
u1385	7	male	207
u1386	37	male	830
u1387	45	female	83
u1388	43	female	57
u1389	1	male	823
u1390	30	male	476
u1391	13	male	360
u1392	26	female	252
u1393	11	male	309
u1394	48	female	799
u1395	6	male	515
u1396	7	male	758
u1397	42	female	22
u1398	19	female	93
u1399	19	female	120
u1400	15	male	940
u1401	11	male	592
u1402	39	female	890
u1403	4	male	570
u1404	33	male	548
u1405	40	female	515
u1406	38	male	818
u1407	31	male	672
u1408	28	male	636
u1409	7	female	557
u1410	6	male	485
u1411	45	male	470
u1412	30	male	811
u1413	34	female	772
u1414	35	female	597
u1415	24	female	723
u1416	11	male	266
u1417	27	female	424
u1418	8	male	684
u1419	36	male	282
u1420	11	male	281
u1421	8	male	365
u1422	1	male	576
u1423	19	female	37
u1424	21	male	163
u1425	37	male	442
u1426	5	male	134
u1427	7	male	326
u1428	9	female	559
u1429	24	male	428
u1430	37	female	294
u1431	33	male	431
u1432	18	female	63
u1433	31	male	974
u1434	13	female	740
u1435	5	male	230
u1436	8	male	949
u1437	41	male	290
u1438	14	female	502
u1439	12	female	978
u1440	12	male	194
u1441	14	male	852
u1442	11	male	289
u1443	46	male	560
u1444	28	female	174
u1445	30	male	922
u1446	35	male	243
u1447	2	male	756
u1448	35	female	110
u1449	19	female	663
u1450	41	male	545
u1451	18	male	883
u1452	33	male	96
u1453	31	female	511
u1454	47	male	908
u1455	43	female	221
u1456	10	female	787
u1457	37	male	506
u1458	30	male	552
u1459	33	male	422
u1460	4	female	812
u1461	42	female	199
u1462	29	male	923
u1463	27	female	313
u1464	7	male	479
u1465	42	male	214
u1466	8	male	925
u1467	3	male	728
u1468	15	male	439
u1469	45	male	454
u1470	47	male	721
u1471	50	male	125
u1472	20	female	445
u1473	38	female	357
u1474	12	male	758
u1475	8	male	159
u1476	15	female	580
u1477	41	male	591
u1478	19	female	835
u1479	48	female	595
u1480	8	male	184
u1481	35	female	372
u1482	41	male	962
u1483	14	female	351
u1484	27	male	140
u1485	31	male	601
u1486	41	female	778
u1487	38	male	987
u1488	8	male	178
u1489	16	male	745
u1490	41	female	407
u1491	44	female	949
u1492	40	male	71
u1493	17	male	128
u1494	26	female	679
u1495	24	male	531
u1496	13	female	608
